City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,saratovskaya,44.7103,39.2244,14.32,52,100,8.37,RU,1701450125
303,vadso,70.0744,29.7487,-5.91,86,75,2.57,NO,1701450125
304,ismailia,30.6043,32.2723,22.04,43,0,4.12,EG,1701449954
305,valognes,49.5088,-1.4705,3.66,81,20,4.12,FR,1701450125
306,oyem,1.5995,11.5793,21.52,93,32,0.6,GA,1701450126
307,reggane,26.7158,0.1714,20.76,9,100,1.64,DZ,1701450126
308,puerto deseado,-47.7503,-65.8938,14.45,23,81,7.49,AR,1701450126
309,balqash,46.8481,74.995,-0.29,61,43,0.57,KZ,1701450127
310,xuanzhou,30.9525,118.7553,3.38,37,84,1.72,CN,1701450127
311,hami,42.8,93.45,0.2,29,92,0.46,CN,1701450127
312,nova vicosa,-17.8919,-39.3719,29.62,58,93,7.2,BR,1701450127
313,viborg,56.4532,9.402,-5.19,90,32,2.63,DK,1701450022
314,nuku'alofa,-21.1333,-175.2,25.19,94,20,4.63,TO,1701450127
315,saint-francois,46.4154,3.9054,4.82,100,75,2.06,FR,1701450128
316,kourou,5.1552,-52.6478,31.03,62,95,3.55,GF,1701450128
317,wald-michelbach,49.57,8.8317,0.33,89,100,2.54,DE,1701450128
318,borkum,53.5809,6.6915,0.53,72,98,3.88,DE,1701450128
319,st. john's,47.5649,-52.7093,2.93,81,40,5.14,CA,1701450013
320,sosnovo-ozerskoye,52.5249,111.5418,-17.03,95,28,3.02,RU,1701450129
321,kayangel,8.0823,134.7173,28.56,78,34,7.0,PW,1701450129
322,midvagur,62.0511,-7.1939,2.46,80,100,1.54,FO,1701450129
323,sisimiut,66.9395,-53.6735,-2.27,81,99,2.9,GL,1701449987
324,cova figueira,14.8905,-24.2934,23.64,75,100,5.58,CV,1701450129
325,mukalla,14.5425,49.1242,25.73,68,38,1.67,YE,1701450129
326,juan griego,11.0817,-63.9655,29.31,64,0,5.83,VE,1701450130
327,jacmel,18.2342,-72.5347,30.91,46,6,2.32,HT,1701450130
328,stalbe,57.3719,25.0343,-9.78,100,93,0.87,LV,1701450131
329,bykovo,55.6361,38.0803,-3.58,98,100,4.0,RU,1701450131
330,muisne,0.6,-80.0333,26.26,78,97,4.28,EC,1701450131
331,marshfield,44.6689,-90.1718,-1.51,69,0,2.57,US,1701450132
332,praia da vitoria,38.7333,-27.0667,17.14,59,20,4.39,PT,1701450132
333,bakchar,57.0186,82.0711,-7.43,97,86,1.75,RU,1701450132
334,ancud,-41.8697,-73.8203,9.95,61,81,5.88,CL,1701450050
335,benidorm,38.5382,-0.131,19.05,59,100,6.62,ES,1701449987
336,arraial do cabo,-22.9661,-42.0278,29.98,78,20,7.72,BR,1701450133
337,itoman,26.1247,127.6694,19.01,72,75,4.63,JP,1701450133
338,enewetak,11.3474,162.3373,27.61,75,100,9.32,MH,1701450134
339,tazovsky,67.4667,78.7,-22.31,100,92,2.19,RU,1701450134
340,chibougamau,49.9168,-74.3659,-11.21,79,20,5.14,CA,1701450134
341,agnibilekrou,7.1344,-3.2047,29.26,63,63,1.1,CI,1701450135
342,mejit,10.2753,170.8646,27.63,74,91,8.82,MH,1701450135
343,mbanza-ngungu,-5.25,14.8667,21.31,94,84,2.76,CD,1701450135
344,manta,-0.95,-80.7333,25.88,73,75,4.12,EC,1701450135
345,palikir - national government center,6.9248,158.1611,28.2,73,67,8.55,FM,1701449969
346,kotka,60.4664,26.9458,-5.93,90,100,5.88,FI,1701450136
347,geraldton,-28.7667,114.6,21.23,88,75,3.6,AU,1701450010
348,khash,28.2211,61.2158,15.11,41,0,1.03,IR,1701450137
349,arkhangel'sk,64.5401,40.5433,-8.94,92,100,5.0,RU,1701450137
350,kalinagar,28.6167,80.1,18.0,59,0,1.85,IN,1701450137
351,micheweni,-4.9667,39.8333,27.57,82,77,5.7,TZ,1701450137
352,touros,-5.1989,-35.4608,29.34,58,28,6.18,BR,1701450138
353,thames,-37.1333,175.5333,14.61,84,100,2.37,NZ,1701450138
354,baise city,23.8997,106.6133,13.93,84,100,0.8,CN,1701450138
355,lubango,-14.9172,13.4925,16.92,100,75,2.57,AO,1701450139
356,srednyaya yelyuzan',53.0241,45.9529,-3.96,85,100,5.24,RU,1701450139
357,griffith,41.5284,-87.4237,6.73,96,100,2.06,US,1701450013
358,talara,-4.5772,-81.2719,27.42,57,0,6.17,PE,1701449649
359,livingston,55.9029,-3.5226,-0.62,91,0,0.51,GB,1701450036
360,banda,25.4833,80.3333,21.63,71,0,2.05,IN,1701450140
